Fund Name,Date,NAV
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-06,439.0864
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-09,438.2548
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-10,438.1833
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-11,438.8998
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-12,437.6072
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-13,440.0144
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-16,439.471
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-17,435.5806
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-18,433.7251
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-19,431.582
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-20,426.1616
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-23,427.3632
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-24,427.3093
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-26,427.5529
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-27,427.9609
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-30,427.0381
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2024-12-31,427.4867
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-01,429.2835
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-02,433.6828
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-03,431.164
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-06,425.2209
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-07,426.5717
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-08,425.8523
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-09,423.5775
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-10,420.7325
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-13,413.758
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-14,416.1946
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-15,417.4031
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-16,419.4544
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-17,418.6939
Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,2025-01-20,420.8798
