Fund name,Date,NAV
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-12,9.5245
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-13,9.7572
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-16,9.2865
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-17,9.1138
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-18,8.773
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-19,8.5905
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-20,8.8479
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-23,8.0664
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-24,8.1821
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-25,8.5209
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-26,8.7648
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-27,8.767
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-30,8.5584
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-03-31,8.7402
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-01,8.5727
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-03,8.3892
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-07,8.8377
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-08,8.8114
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-09,9.031
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-13,8.9631
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-15,8.9579
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-16,9.0476
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-17,9.2356
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-20,9.253
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-21,9.0416
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-22,9.1416
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-23,9.2103
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-24,9.0553
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-27,9.1693
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-28,9.2458
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-29,9.3374
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-04-30,9.5206
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-04,9.1468
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-05,9.0697
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-05-06,9.115
