Fund Name,Date,NAV
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-15,26.566
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-16,26.588
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-17,26.557
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-20,26.5871
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-21,26.5783
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-22,26.594
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-23,26.5776
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-24,26.5767
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-27,26.5915
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-28,26.5942
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-29,26.6084
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-06-30,26.6325
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-01,26.6078
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-04,26.606
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-05,26.6433
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-06,26.6192
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-07,26.6096
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-08,26.6193
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-11,26.6278
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-12,26.6341
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-13,26.6096
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-14,26.6337
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-15,26.6184
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-18,26.6133
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-19,26.6283
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-20,26.6451
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-21,26.653
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-22,26.6504
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-25,26.6424
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-26,26.6509
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-27,26.6397
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-28,26.6417
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-07-29,26.6246
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-01,26.6453
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-02,26.6661
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-03,26.6646
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-04,26.6706
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-05,26.6687
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-08,26.6658
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-10,26.6679
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-11,26.6777
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-12,26.6872
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-16,26.6837
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-17,26.6897
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-18,26.6971
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-19,26.7302
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-22,26.7371
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-23,26.709
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-24,26.7225
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-25,26.7358
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-26,26.7241
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-29,26.7576
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-08-30,26.756
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-01,26.7577
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-02,26.78
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-05,26.7655
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-06,26.7686
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-07,26.7654
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-08,26.7718
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-09,26.7732
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-12,26.7642
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-13,26.7818
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-14,26.7833
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-15,26.7912
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-16,26.8031
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-19,26.8222
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-20,26.8195
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-21,26.8262
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-22,26.8038
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-23,26.8454
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-26,26.8492
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-27,26.8405
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-28,26.8642
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-29,26.8646
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-09-30,26.8641
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-03,26.8922
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-04,26.8785
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-06,26.8887
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-07,26.8853
BANDHAN Arbitrage Fund - Regular Plan - Growth,2022-10-10,26.8988
